n,splay_ins,splay_bus,treap_ins,treap_bus,set_ins,set_bus
2000,0.37136,0.384969,0.258071,0.08838,0.179552,0.129526
4000,0.834602,0.83743,0.559393,0.207549,0.4037,0.293986
6000,1.34465,1.37667,0.900355,0.361139,0.656909,0.563969
8000,1.89908,1.98855,1.25824,0.484016,0.881136,0.714423
10000,2.36972,2.59631,2.04066,0.734651,1.24049,0.99203
12000,2.92995,3.13583,2.21691,1.04494,1.43619,1.23473
14000,3.57152,3.79608,2.52989,1.12341,2.10778,1.5835
16000,4.1742,4.47007,3.0122,1.3916,1.97864,1.85165
18000,4.66408,5.00368,4.14178,1.76273,2.29867,2.06879
20000,5.46977,5.87129,3.83592,1.87872,2.90252,3.16534
